theme_bin,term,count,source_count,sources
Economy / business,job,14,6,part6 (1).pdf; part7.pdf; part8.pdf; part9 (1).pdf; part10.pdf; part11 (1).pdf
Jazz / performance,musician,11,4,CMC_1 (1)-2.pdf; Dissertation_2011_The_Crossroads_of_the.pdf; International-Musician-1944-07.pdf; part4.pdf
Jazz / performance,club,10,5,CMC_1 (1)-2.pdf; Dissertation_2011_The_Crossroads_of_the.pdf; part4.pdf; part7.pdf; part11 (1).pdf
Jazz / performance,musicians,10,4,CMC_1 (1)-2.pdf; Dissertation_2011_The_Crossroads_of_the.pdf; International-Musician-1944-07.pdf; part4.pdf
Governance / labor,contract,9,6,CMC_1 (1)-2.pdf; International-Musician-1944-07.pdf; part7.pdf; part8.pdf; part9 (1).pdf; part10.pdf
Corridor / spatial,buffalo,7,5,CMC_1 (1)-2.pdf; part2.pdf; part3.pdf; part4.pdf; part6 (1).pdf
Governance / labor,union,7,6,CMC_1 (1)-2.pdf; International-Musician-1944-07.pdf; part2.pdf; part3.pdf; part5 (1).pdf; part6 (1).pdf
Governance / labor,local 533,6,5,CMC_1 (1)-2.pdf; part2.pdf; part3.pdf; part5 (1).pdf; part6 (1).pdf
Hub / institution,memorial auditorium,6,4,part7.pdf; part8.pdf; part10.pdf; part11 (1).pdf
Jazz / performance,auditorium,6,4,part7.pdf; part8.pdf; part10.pdf; part11 (1).pdf
Jazz / performance,jazz,6,3,CMC_1 (1)-2.pdf; Dissertation_2011_The_Crossroads_of_the.pdf; part4.pdf
Governance / labor,membership,5,5,CMC_1 (1)-2.pdf; International-Musician-1944-07.pdf; part2.pdf; part3.pdf; part6 (1).pdf
Governance / labor,secretary,4,4,CMC_1 (1)-2.pdf; International-Musician-1944-07.pdf; part2.pdf; part5 (1).pdf
Corridor / spatial,pittsburgh,3,1,Dissertation_2011_The_Crossroads_of_the.pdf
Economy / business,business,3,3,CMC_1 (1)-2.pdf; Dissertation_2011_The_Crossroads_of_the.pdf; part2.pdf
Hub / institution,musicians club,3,3,CMC_1 (1)-2.pdf; Dissertation_2011_The_Crossroads_of_the.pdf; part4.pdf
Jazz / performance,music,3,2,CMC_1 (1)-2.pdf; part9 (1).pdf
Corridor / spatial,avenue,2,1,Dissertation_2011_The_Crossroads_of_the.pdf
Corridor / spatial,crossroads,2,1,Dissertation_2011_The_Crossroads_of_the.pdf
Corridor / spatial,district,2,1,Dissertation_2011_The_Crossroads_of_the.pdf
Corridor / spatial,hill district,2,1,Dissertation_2011_The_Crossroads_of_the.pdf
Corridor / spatial,street,2,2,CMC_1 (1)-2.pdf; Dissertation_2011_The_Crossroads_of_the.pdf
Economy / business,economic,2,1,Dissertation_2011_The_Crossroads_of_the.pdf
Governance / labor,american federation of musicians,2,2,CMC_1 (1)-2.pdf; International-Musician-1944-07.pdf
Governance / labor,business agent,2,2,CMC_1 (1)-2.pdf; part2.pdf
Governance / labor,contracts,2,2,CMC_1 (1)-2.pdf; International-Musician-1944-07.pdf
Governance / labor,dues,2,2,part3.pdf; part5 (1).pdf
Governance / labor,president,2,2,International-Musician-1944-07.pdf; part5 (1).pdf
Governance / labor,work tax,2,2,CMC_1 (1)-2.pdf; part6 (1).pdf
Hub / institution,colored musicians club,2,2,CMC_1 (1)-2.pdf; part4.pdf
Jazz / performance,ballroom,2,2,Dissertation_2011_The_Crossroads_of_the.pdf; part7.pdf
Corridor / spatial,center avenue,1,1,Dissertation_2011_The_Crossroads_of_the.pdf
Corridor / spatial,fullerton,1,1,Dissertation_2011_The_Crossroads_of_the.pdf
Corridor / spatial,lower hill,1,1,Dissertation_2011_The_Crossroads_of_the.pdf
Corridor / spatial,michigan street,1,1,CMC_1 (1)-2.pdf
Corridor / spatial,wylie avenue,1,1,Dissertation_2011_The_Crossroads_of_the.pdf
Economy / business,bar,1,1,Dissertation_2011_The_Crossroads_of_the.pdf
Economy / business,numbers,1,1,Dissertation_2011_The_Crossroads_of_the.pdf
Governance / labor,booking,1,1,CMC_1 (1)-2.pdf
Governance / labor,integration,1,1,part6 (1).pdf
Governance / labor,merger,1,1,part6 (1).pdf
Governance / labor,segregation,1,1,Dissertation_2011_The_Crossroads_of_the.pdf
Hub / institution,crawford grill,1,1,Dissertation_2011_The_Crossroads_of_the.pdf
Hub / institution,loendi club,1,1,Dissertation_2011_The_Crossroads_of_the.pdf
Hub / institution,new granada,1,1,Dissertation_2011_The_Crossroads_of_the.pdf
Hub / institution,pittsburgh courier,1,1,Dissertation_2011_The_Crossroads_of_the.pdf
Hub / institution,savoy ballroom,1,1,Dissertation_2011_The_Crossroads_of_the.pdf
Jazz / performance,band,1,1,part4.pdf
Jazz / performance,jam session,1,1,part4.pdf
Jazz / performance,nightlife,1,1,Dissertation_2011_The_Crossroads_of_the.pdf
Jazz / performance,theater,1,1,Dissertation_2011_The_Crossroads_of_the.pdf
Jazz / performance,venue,1,1,Dissertation_2011_The_Crossroads_of_the.pdf
Urban change / displacement,migration,1,1,Dissertation_2011_The_Crossroads_of_the.pdf
Urban change / displacement,redevelopment,1,1,Dissertation_2011_The_Crossroads_of_the.pdf
Urban change / displacement,segregation,1,1,Dissertation_2011_The_Crossroads_of_the.pdf
Urban change / displacement,urban redevelopment,1,1,Dissertation_2011_The_Crossroads_of_the.pdf
