source_id,filename,city_focus,Jazz / performance,Governance / labor,Hub / institution,Corridor / spatial,Economy / business,Urban change / displacement,total_theme_hits
SRC_001,CMC_1 (1)-2.pdf,Buffalo,14,12,2,5,1,0,34
SRC_002,Dissertation_2011_The_Crossroads_of_the.pdf,Pittsburgh,15,1,6,16,5,4,47
SRC_003,International-Musician-1944-07.pdf,Unknown,5,7,0,0,0,0,12
SRC_004,part2.pdf,Buffalo,0,5,0,1,1,0,7
SRC_005,part3.pdf,Buffalo,0,4,0,1,0,0,5
SRC_006,part4.pdf,Buffalo,9,0,2,1,0,0,12
SRC_007,part5 (1).pdf,Buffalo,0,5,0,0,0,0,5
SRC_008,part6 (1).pdf,Buffalo,0,6,0,1,2,0,9
SRC_009,part7.pdf,Buffalo,3,1,1,0,2,0,7
SRC_010,part8.pdf,Buffalo,2,2,2,0,2,0,8
SRC_011,part9 (1).pdf,Buffalo,1,1,0,0,1,0,3
SRC_012,part10.pdf,Buffalo,1,3,1,0,3,0,8
SRC_013,part11 (1).pdf,Buffalo,3,0,2,0,4,0,9
